"hero_chat_wheel"
{
"dota_chatwheel_message_antimage_laugh"	"ฮ้า ฮ่า ฮาฮ่าฮ่าฮาฮะฮะฮ่ะฮ่ะฮ่ะฮ่ะ!"
"dota_chatwheel_label_lich_4"	"รู้หรือยังว่าตอนนี้ใครเป็นที่หนึ่ง?"
"[english]dota_chatwheel_label_lich_4"	"Who's the number one now?"
"dota_chatwheel_message_lich_5"	"อ้า Ice Frog!"
"[english]dota_chatwheel_message_lich_5"	"Ah, Ice Frog!"
"dota_chatwheel_label_lich_5"	"อ้า Ice Frog!"
"[english]dota_chatwheel_label_lich_5"	"Ah, Ice Frog!"
"dota_chatwheel_message_riki_laugh"	"โฮ้ว โฮ้ว โฮ้ว โฮ้ว โฮ้ว โฮ้ว โฮ้ว"
"[english]dota_chatwheel_message_riki_laugh"	"hoo hoo hoo hoo hoo hoo hoo."
"dota_chatwheel_label_riki_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_riki_laugh"	"Laugh"
"dota_chatwheel_message_riki_thank"	"ภารกิจเสร็จสมบูรณ์"
"[english]dota_chatwheel_message_riki_thank"	"Contract complete."
"dota_chatwheel_label_riki_thank"	"ภารกิจเสร็จสมบูรณ์"
"[english]dota_chatwheel_label_riki_thank"	"Contract complete."
"dota_chatwheel_message_riki_deny"	"อะฮ่า เจ้าไม่เห็นล่ะสิว่าจะเกิดอะไรขึ้น"
"[english]dota_chatwheel_message_riki_deny"	"Heh-ho, you didn't see that coming."
"dota_chatwheel_label_riki_deny"	"เจ้าไม่เห็นล่ะสิว่าจะเกิดอะไรขึ้น"
"[english]dota_chatwheel_label_riki_deny"	"You didn't see that coming."
"dota_chatwheel_message_riki_1"	"จะยืดเยื้อให้เสียเวลาทำไม?"
"[english]dota_chatwheel_message_riki_1"	"Why prolong the inevitable?"
"dota_chatwheel_label_riki_1"	"จะยืดเยื้อให้เสียเวลาทำไม?"
"[english]dota_chatwheel_label_riki_1"	"Why prolong the inevitable?"
"dota_chatwheel_message_riki_2"	"จ๊ะเอ๋"
"[english]dota_chatwheel_message_riki_2"	"Peek-a-boo."
"dota_chatwheel_label_riki_2"	"จ๊ะเอ๋"
"[english]dota_chatwheel_label_riki_2"	"Peek-aboo."
"dota_chatwheel_message_riki_3"	"ถ้าเจ้าเห็นข้า แปลว่าเจ้าตายแล้ว"
"[english]dota_chatwheel_message_riki_3"	"If you can see me, you're already dead."
"dota_chatwheel_label_riki_3"	"ถ้าเจ้าเห็นข้า..."
"[english]dota_chatwheel_label_riki_3"	"If you can see me..."
"dota_chatwheel_message_riki_4"	"ข้าอยู่ที่นี่มาตั้งนานแล้ว"
"[english]dota_chatwheel_message_riki_4"	"I've been here the whole time."
"dota_chatwheel_label_riki_4"	"ข้าอยู่ที่นี่มาตั้งนานแล้ว"
"[english]dota_chatwheel_label_riki_4"	"I've been here the whole time."
"dota_chatwheel_message_riki_5"	"อะอ้าว เจ้าตายแล้ว น่าแปลกใจจัง"
"[english]dota_chatwheel_message_riki_5"	"Oh you're dead. What a surprise."
"dota_chatwheel_label_riki_5"	"อะอ้าว เจ้าตายแล้ว น่าแปลกใจจัง"
"[english]dota_chatwheel_label_riki_5"	"Oh you're dead. What a surprise."
"dota_chatwheel_message_enigma_laugh"	"ฮี่-ฮี่-ฮื้อ-ฮื่อ-ฮื่อ"
"[english]dota_chatwheel_message_enigma_laugh"	"He-he-huh-heh-heh."
"dota_chatwheel_label_enigma_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_enigma_laugh"	"Laugh"
"dota_chatwheel_message_enigma_1"	"จงมองดูก้นบึ้งหุบเหวนรก"
"[english]dota_chatwheel_message_enigma_1"	"Stare into the abyss."
"dota_chatwheel_label_enigma_1"	"จงมองดูก้นบึ้งหุบเหวนรก"
"[english]dota_chatwheel_label_enigma_1"	"Stare into the abyss."
"dota_chatwheel_message_enigma_2"	"ความเงียบมีค่าประดุจทอง"
"[english]dota_chatwheel_message_enigma_2"	"Silence is golden."
"dota_chatwheel_label_enigma_2"	"ความเงียบมีค่าประดุจทอง"
"[english]dota_chatwheel_label_enigma_2"	"Silence is golden."
"dota_chatwheel_message_enigma_3"	"เจ้าอยู่ต่ำกว่าข้า"
"[english]dota_chatwheel_message_enigma_3"	"You are beneath me."
"dota_chatwheel_label_enigma_3"	"เจ้าอยู่ต่ำกว่าข้า"
"[english]dota_chatwheel_label_enigma_3"	"You are beneath me."
"dota_chatwheel_message_enigma_5"	"หากแม้แต่แสงก็หนีจากข้าไม่ได้ แล้วความหวังของเจ้าจะเหลืออะไร?"
"[english]dota_chatwheel_message_enigma_5"	"If light cannot escape me, what hope have you?"
"dota_chatwheel_label_enigma_5"	"หากแม้แต่แสงก็หนีจากข้าไม่ได้..."
"[english]dota_chatwheel_label_enigma_5"	"If light cannot escape me..."
"dota_chatwheel_message_tinker_laugh"	"ฮ้า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_tinker_laugh"	"Ah ha ha ha ha!"
"dota_chatwheel_label_tinker_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_tinker_laugh"	"Laugh"
"dota_chatwheel_message_tinker_thank"	"พรสวรรค์ของเจ้านั้นเยอะกว่าความน่ารักเหลือหลาย"
"[english]dota_chatwheel_message_tinker_thank"	"Your talents surpass your loveliness."
"dota_chatwheel_label_tinker_thank"	"พรสวรรค์ของเจ้านั้นเยอะกว่าความน่ารักเหลือหลาย"
"[english]dota_chatwheel_label_tinker_thank"	"Your talents surpass your loveliness."
"dota_chatwheel_message_tinker_deny"	"อืม มันก็ดีไม่ใช่น้อยเลยนะ!"
"[english]dota_chatwheel_message_tinker_deny"	"Well isn't that something!"
"dota_chatwheel_label_tinker_deny"	"อืม มันก็ดีไม่ใช่น้อยเลยนะ!"
"[english]dota_chatwheel_label_tinker_deny"	"Well isn't that something!"
"dota_chatwheel_message_tinker_1"	"ปิ้ว ปิ้ว ปิ้ว-ปิ้ว-ปิ้ว!"
"[english]dota_chatwheel_message_tinker_1"	"Pew, pew, pew pew pew!"
"dota_chatwheel_label_tinker_1"	"ปิ้ว ปิ้ว ปิ้ว-ปิ้ว-ปิ้ว!"
"[english]dota_chatwheel_label_tinker_1"	"Pew, pew, pew pew pew!"
"dota_chatwheel_message_tinker_2"	"รู้มั้ยว่าข้าคาดการณ์ทุกอย่างไว้ล่วงหน้าหมดแล้ว ทุกอย่างเลย!"
"[english]dota_chatwheel_message_tinker_2"	"I predicted all of this you know, all of it!"
"dota_chatwheel_label_tinker_2"	"รู้มั้ยว่าข้าคาดการณ์ทุกอย่างไว้ล่วงหน้าหมดแล้ว..."
"[english]dota_chatwheel_label_tinker_2"	"I predicted all of this you know..."
"dota_chatwheel_message_tinker_3"	"อัจฉริยะมาก!"
"[english]dota_chatwheel_message_tinker_3"	"That was genius!"
"dota_chatwheel_label_tinker_3"	"อัจฉริยะมาก!"
"[english]dota_chatwheel_label_tinker_3"	"That was genius!"
"dota_chatwheel_message_tinker_4"	"ฉันขอเรียกการทดลองนั้นว่า ความล้มเหลว"
"[english]dota_chatwheel_message_tinker_4"	"I'm going to call that experiment, a failure."
"dota_chatwheel_label_tinker_4"	"ฉันขอเรียกการทดลองนั้น..."
"[english]dota_chatwheel_label_tinker_4"	"I'm going to call that experiment..."
"dota_chatwheel_message_tinker_5"	"เก็บเวทมนตร์ของเจ้าไว้ซะ ข้ามีลำแสงเลเซอร์แล้ว!"
"[english]dota_chatwheel_message_tinker_5"	"You can keep your magic, I have laser beams!"
"dota_chatwheel_label_tinker_5"	"เก็บเวทมนตร์ของเจ้า..."
"[english]dota_chatwheel_label_tinker_5"	"You can keep your magic..."
"dota_chatwheel_message_sniper_laugh"	"ฮื่อ ฮื่อ ฮื่อ ฮื่อ ฮื่อ ฮื่อ ฮื่อ ฮื่อ ฮื่อ ฮื่อ!"
"[english]dota_chatwheel_message_sniper_laugh"	"Hee hee hee hee hee hee hee hee hee hee!"
"dota_chatwheel_label_sniper_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_sniper_laugh"	"Laugh"
"dota_chatwheel_message_sniper_thank"	"สมกับที่ซ้อมยิงมา!"
"[english]dota_chatwheel_message_sniper_thank"	"Target practice, payin' off!"
"dota_chatwheel_label_sniper_thank"	"สมกับที่ซ้อมยิงมา!"
"[english]dota_chatwheel_label_sniper_thank"	"Target practice, payin' off!"
"dota_chatwheel_message_sniper_deny"	"อะไรกัน---?"
"[english]dota_chatwheel_message_sniper_deny"	"What the---?"
"dota_chatwheel_label_sniper_deny"	"อะไรกัน---?"
"[english]dota_chatwheel_label_sniper_deny"	"What the---?"
"dota_chatwheel_message_sniper_1"	"บอกลาหัวของเอ็งไว้ซะนะ!"
"[english]dota_chatwheel_message_sniper_1"	"Say goodbye to your head!"
"dota_chatwheel_label_sniper_1"	"บอกลาหัวของเอ็งไว้ซะนะ!"
"[english]dota_chatwheel_label_sniper_1"	"Say goodbye to your head!"
"dota_chatwheel_message_sniper_2"	"เต้นสิวะ! ฮะฮะฮ่ะฮ่า! เต้น!"
"[english]dota_chatwheel_message_sniper_2"	"Dance! Ha ha ha ha! Dance!"
"dota_chatwheel_label_sniper_2"	"เต้นสิวะ! ฮะฮะฮ่ะฮ่า! เต้น!"
"[english]dota_chatwheel_label_sniper_2"	"Dance! Ha ha ha ha! Dance!"
"dota_chatwheel_message_sniper_3"	"ทำไมข้าถึงยิ้มนะเรอะ? ก็เพราะพร้อมจะเหนี่ยวไกแล้วไงล่ะ"
"[english]dota_chatwheel_message_sniper_3"	"Why am I smiling? This is what trigger-happy looks like."
"dota_chatwheel_label_sniper_3"	"ทำไมข้าถึงยิ้มนะเรอะ?..."
"[english]dota_chatwheel_label_sniper_3"	"Why am I smiling?..."
"dota_chatwheel_message_sniper_4"	"โง่งั่งจริง ๆ!"
"[english]dota_chatwheel_message_sniper_4"	"What a dum-dum!"
"dota_chatwheel_label_sniper_4"	"โง่งั่งจริง ๆ"
"[english]dota_chatwheel_label_sniper_4"	"What a dumb dumb"
"dota_chatwheel_message_sniper_5"	"โฮ้ โฮ ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_sniper_5"	"Ho ho ha ha!"
"dota_chatwheel_label_sniper_5"	"โฮ้ โฮ ฮ่า ฮ่า!"
"[english]dota_chatwheel_label_sniper_5"	"Ho ho ha ha!"
"dota_chatwheel_message_necrolyte_laugh"	"ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_necrolyte_laugh"	"Ha ha ha ha ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_necrolyte_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_necrolyte_laugh"	"Laugh"
"dota_chatwheel_message_necrolyte_thank"	"สูดเข้าไป"
"[english]dota_chatwheel_message_necrolyte_thank"	"Breathe it in."
"dota_chatwheel_label_necrolyte_thank"	"สูดเข้าไป"
"[english]dota_chatwheel_label_necrolyte_thank"	"Breathe it in."
"dota_chatwheel_message_necrolyte_deny"	"แพงมากเลยนะ"
"[english]dota_chatwheel_message_necrolyte_deny"	"That was costly."
"dota_chatwheel_label_necrolyte_deny"	"แพงมากเลยนะ"
"[english]dota_chatwheel_label_necrolyte_deny"	"That was costly."
"dota_chatwheel_message_necrolyte_1"	"กลิ่นสาบความตายอยู่บนตัวเจ้า"
"[english]dota_chatwheel_message_necrolyte_1"	"The stench of death is upon you."
"dota_chatwheel_label_necrolyte_1"	"กลิ่นสาบความตายอยู่บนตัวเจ้า"
"[english]dota_chatwheel_label_necrolyte_1"	"The stench of death is upon you."
"dota_chatwheel_message_necrolyte_2"	"อะไรนะ ให้ร่าเริงขึ้นอีกหน่อยหรอ? นี่ข้าก็ค่อนข้างร่าเริงอยู่แล้วนะ"
"[english]dota_chatwheel_message_necrolyte_2"	"What do you mean, cheer up? I'm quite cheerful."
"dota_chatwheel_label_necrolyte_2"	"อะไรนะ ให้ร่าเริงขึ้นอีกหน่อยหรอ?..."
"[english]dota_chatwheel_label_necrolyte_2"	"What do you mean, cheer up?..."
"dota_chatwheel_message_necrolyte_3"	"เน่าเฟะไปหมดแล้ว"
"[english]dota_chatwheel_message_necrolyte_3"	"It's all gone rotten."
"dota_chatwheel_label_necrolyte_3"	"เน่าเฟะไปหมดแล้ว"
"[english]dota_chatwheel_label_necrolyte_3"	"It's all gone rotten."
"dota_chatwheel_message_necrolyte_4"	"แด่สุขภาพของเจ้า เฮอะ เฮอะ เฮอะ เฮอะ ฮะ ฮา ฮา ฮา ฮ่า"
"[english]dota_chatwheel_message_necrolyte_4"	"To your health. Ha ha ha ha ha ha ha ha ha."
"dota_chatwheel_label_necrolyte_4"	"แด่สุขภาพของเจ้า..."
"[english]dota_chatwheel_label_necrolyte_4"	"To your health..."
"dota_chatwheel_message_necrolyte_5"	"ข้าเป็นดั่งปลาเน่าตัวเดียวที่ทำให้เหม็นทั้งข้อง"
"[english]dota_chatwheel_message_necrolyte_5"	"I am the rotten apple that spoils the bunch."
"dota_chatwheel_label_necrolyte_5"	"ข้าเป็นดั่งปลาเน่า..."
"[english]dota_chatwheel_label_necrolyte_5"	"I am the rotten apple..."
"dota_chatwheel_message_warlock_laugh"	"โฮ้ ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า ฮ่า!"
"[english]dota_chatwheel_message_warlock_laugh"	"Ho ha ha ha ha ha ha ha ha!"
"dota_chatwheel_label_warlock_laugh"	"หัวเราะ"
"[english]dota_chatwheel_label_warlock_laugh"	"Laugh"
"dota_chatwheel_message_warlock_thank"	"เริ่มยุคแห่งความโกลาหล!"
"[english]dota_chatwheel_message_warlock_thank"	"Let chaos reign!"
"dota_chatwheel_label_warlock_thank"	"เริ่มยุคแห่งความโกลาหล!"
"[english]dota_chatwheel_label_warlock_thank"	"Let chaos reign!"
"dota_chatwheel_message_warlock_deny"	"เอางั้นหรือ? เจ้าทำเช่นนั้นหรือ?"
"[english]dota_chatwheel_message_warlock_deny"	"Really? You just did that?"
"dota_chatwheel_label_warlock_deny"	"เอางั้นหรือ? เจ้าทำเช่นนั้นหรือ?"
"[english]dota_chatwheel_label_warlock_deny"	"Really? You just did that?"
"dota_chatwheel_message_warlock_2"	"ซาน โคโรโบส โคร์ โครามอร์ด!"
"[english]dota_chatwheel_message_warlock_2"	"Zan korobos kor koramord!"
"dota_chatwheel_label_warlock_2"	"ซาน โคโรโบส โคร์ โครามอร์ด!"
"[english]dota_chatwheel_label_warlock_2"	"Zan korobos kor koramord!"
"dota_chatwheel_message_warlock_4"	"พวกกระจอก"
"[english]dota_chatwheel_message_warlock_4"	"Pipsqueak."
"dota_chatwheel_label_warlock_4"	"พวกกระจอก"
